"alphat","p","T","Un:0","Un:1","Un:2","U:0","U:1","U:2","Us:0","Us:1","Us:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,-2.0621371731977e-05,2.000497341156,0.007090293802321,-1.2125534340157e-05,0,-0.022497065365314,-1.1937839190068e-05,0,-0.073384523391724,-1.1615021321632e-05,0,1,5.0000002374873e-05,0.0074999998323619,5.0000002374873e-05,4.9999998736894e-05
0,-2.0621278963517e-05,2.000497341156,0.0077912486158311,-1.4246420505515e-05,0,-0.02179610915482,-1.4044623640075e-05,0,-0.072683565318584,-1.3697551366931e-05,0,1,5.5000004067551e-05,0.0074999998323619,5.5000004067551e-05,4.9999998736894e-05
0,-2.0621186195058e-05,2.000497341156,0.0084922034293413,-1.6367303032894e-05,0,-0.021095154806972,-1.6151405361597e-05,0,-0.071982614696026,-1.5780080502736e-05,0,1,6.0000002122251e-05,0.0074999998323619,6.0000002122251e-05,4.9999998736894e-05
0,-2.0621093426598e-05,2.000497341156,0.0091931577771902,-1.8488188288757e-05,0,-0.020394200459123,-1.8258186173625e-05,0,-0.071281656622887,-1.7862608729047e-05,0,1,6.5000000176951e-05,0.0074999998323619,6.5000000176951e-05,4.9999998736894e-05
0,-2.0621000658139e-05,2.000497341156,0.0098941121250391,-2.060907354462e-05,0,-0.019693246111274,-2.0364970623632e-05,0,-0.070580706000328,-1.9945138774347e-05,0,1,7.000000186963e-05,0.0074999998323619,7.000000186963e-05,4.9999998736894e-05
0,-2.0620907889679e-05,2.000497341156,0.010595067404211,-2.2729958800483e-05,0,-0.018992291763425,-2.2471753254649e-05,0,-0.069879747927189,-2.2027668819646e-05,0,1,7.5000003562309e-05,0.0074999998323619,7.5000003562309e-05,4.9999998736894e-05
0,-2.0620816940209e-05,2.000497341156,0.011296021752059,-2.4850842237356e-05,0,-0.018291337415576,-2.4578537704656e-05,0,-0.06917879730463,-2.4110198864946e-05,0,1,8.0000005254988e-05,0.0074999998323619,8.0000005254988e-05,4.9999998736894e-05
0,-2.0620724171749e-05,2.000497341156,0.011996977031231,-2.6971727493219e-05,0,-0.017590381205082,-2.6685320335673e-05,0,-0.068477839231491,-2.6192728910246e-05,0,1,8.5000006947666e-05,0.0074999998323619,8.5000006947666e-05,4.9999998736894e-05
0,-2.062063140329e-05,2.000497341156,0.012697930447757,-2.9092610930093e-05,0,-0.016889428719878,-2.8792101147701e-05,0,-0.067776888608932,-2.8275255317567e-05,0,1,9.0000001364388e-05,0.0074999998323619,9.0000001364388e-05,4.9999998736894e-05
0,-2.062053863483e-05,2.000497341156,0.013398885726929,-3.1213494366966e-05,0,-0.016188472509384,-3.0898885597708e-05,0,-0.067075930535793,-3.0357785362867e-05,0,1,9.5000003057066e-05,0.0074999998323619,9.5000003057066e-05,4.9999998736894e-05
0,-2.0620445866371e-05,2.000497341156,0.014099840074778,-3.3334381441819e-05,0,-0.015487518161535,-3.3005668228725e-05,0,-0.066374979913235,-3.2440315408166e-05,0,1,0.00010000000474975,0.0074999998323619,0.00010000000474975,4.9999998736894e-05
0,-2.0620231225621e-05,2.000497341156,0.0147347105667,-3.5869605198968e-05,0,-0.014852647669613,-3.5531593312044e-05,0,-0.06574010848999,-3.495024429867e-05,0,1,0.00010500000644242,0.0074999998323619,0.00010500000644242,4.9999998736894e-05
0,-2.0620016584871e-05,2.000497341156,0.015369581058621,-3.8404825318139e-05,0,-0.014217777177691,-3.8057514757384e-05,0,-0.065105237066746,-3.7460173189174e-05,0,1,0.0001100000081351,0.0074999998323619,0.0001100000081351,4.9999998736894e-05
0,-2.0619803763111e-05,2.000497341156,0.016004450619221,-4.094004543731e-05,0,-0.01358290668577,-4.0583436202724e-05,0,-0.064470365643501,-3.9970102079678e-05,0,1,0.00011500000255182,0.0074999998323619,0.00011500000255182,4.9999998736894e-05
0,-2.0619589122362e-05,2.000497341156,0.016639322042465,-4.3475265556481e-05,0,-0.012948036193848,-4.3109357648063e-05,0,-0.063835494220257,-4.2480030970182e-05,0,1,0.0001200000042445,0.0074999998323619,0.0001200000042445,4.9999998736894e-05
0,-2.0619374481612e-05,2.000497341156,0.017274191603065,-4.601048931363e-05,0,-0.012313165701926,-4.5635282731382e-05,0,-0.063200622797012,-4.4989959860686e-05,0,1,0.00012500000593718,0.0074999998323619,0.00012500000593718,4.9999998736894e-05
